ID,ACSTOTPOP,DEMOGIDX_2,DEMOGIDX_5,P_PM25,P_D2_PM25,P_D5_PM25,P_OZONE,P_D2_OZONE,P_D5_OZONE,P_DSLPM,P_D2_DSLPM,P_D5_DSLPM,P_CANCER,P_D2_CANCER,P_D5_CANCER,P_RESP,P_D2_RESP,P_D5_RESP,P_RSEIAIR,P_D2_RSEIAIR,P_D5_RSEIAIR,P_PTRAF,P_D2_PTRAF,P_D5_PTRAF,P_LDPNT,P_D2_LDPNT,P_D5_LDPNT,P_PNPL,P_D2_PNPL,P_D5_PNPL,P_PRMP,P_D2_PRMP,P_D5_PRMP,P_PTSDF,P_D2_PTSDF,P_D5_PTSDF,P_UST,P_D2_UST,P_D5_UST,P_PWDIS,P_D2_PWDIS,P_D5_PWDIS
24003701104,3628,0.132865695678920,0.083146534179178,31,20,24,86,47,61,49,32,40,52,54,59,31,35,39,33,19,25,59,35,45,38,22,28,41,25,31,15,10,12,31,22,26,65,40,49,31,19,23
24003701201,3762,0.063530037214248,0.070871653428396,28,10,19,86,25,53,37,12,25,52,45,56,31,27,36,31,9,20,20,7,14,61,17,37,33,9,20,11,3,7,19,6,13,48,18,34,30,9,19
24003701202,4435,0.080045095828636,0.069779272014188,28,12,19,86,31,53,37,16,25,52,48,55,31,29,35,32,11,20,32,14,22,37,13,24,36,13,22,12,5,8,24,10,16,45,21,31,32,12,20
24003701301,4341,0.097624325554442,0.075675331468858,34,16,24,78,34,52,40,21,29,52,51,57,31,31,37,29,13,20,17,10,12,34,15,24,45,20,31,28,14,21,28,15,21,26,16,19,42,19,29
24003701302,3665,0.089631650750341,0.071333670261436,34,15,23,78,32,49,40,19,27,52,50,56,31,30,36,26,10,17,10,5,7,35,14,23,43,17,28,44,19,31,18,8,12,18,12,13,43,17,28
24003701400,3736,0.186214255173150,0.082811446291543,29,25,23,80,55,57,40,35,32,52,58,59,31,40,39,29,24,22,19,19,15,64,48,44,37,32,28,19,18,16,18,18,14,30,29,25,29,24,22
24003702100,6193,0.111631381276660,0.066199136466543,39,20,24,92,43,53,56,31,36,52,53,55,31,33,34,47,23,28,16,10,10,56,27,32,63,32,39,25,14,16,25,15,16,26,17,17,61,30,36
24003702204,4778,0.140600349435261,0.059364085928950,39,25,22,87,49,46,68,42,39,52,54,53,69,52,52,32,20,17,65,38,37,13,10,10,67,41,37,19,13,11,38,27,23,48,33,29,50,30,27
24003702205,5161,0.261999818469855,0.068522527487058,40,43,26,88,70,53,65,59,43,52,65,55,31,47,35,33,36,21,63,55,40,11,13,9,71,63,46,22,27,15,33,38,23,33,40,22,55,54,34
24003702206,7338,0.244802133733129,0.077432025589301,39,40,28,89,68,59,56,52,42,52,63,57,31,46,37,35,36,25,21,26,16,8,10,9,71,61,51,23,27,18,28,32,22,28,34,22,58,53,40
24003702208,8529,0.273361472622816,0.074148130541471,40,44,28,90,72,58,58,56,42,52,66,56,31,49,37,38,42,26,65,57,44,13,16,11,78,67,53,29,35,22,23,30,17,42,47,31,75,67,48
24003702209,4006,0.154643035446829,0.064272502459958,40,28,24,89,53,50,62,42,39,52,55,54,31,37,34,35,24,21,55,37,34,15,11,11,76,49,46,26,20,17,27,22,17,44,34,28,72,45,41
24003702300,5501,0.055535357207780,0.055929057762734,37,11,20,86,22,43,58,17,31,52,42,53,31,26,32,32,8,17,36,12,20,37,10,20,54,13,27,18,5,9,36,11,20,20,0,12,37,10,19
24003702402,7554,0.147939558741207,0.079451250337048,33,23,25,89,51,60,63,41,48,52,55,58,31,36,38,37,24,27,78,45,53,29,19,22,47,32,35,12,9,9,67,42,48,57,39,43,33,22,24
24003702500,7105,0.402533427163969,0.122490895963187,31,49,34,89,83,79,53,66,58,52,76,68,31,59,49,36,54,40,76,75,69,48,66,48,43,61,49,10,20,12,65,71,64,55,66,57,38,56,41
24003702601,6000,0.167770980194696,0.076981292536871,29,22,21,89,55,59,45,36,34,52,56,57,31,38,37,34,25,24,42,32,32,19,14,15,38,29,26,10,9,7,49,37,37,39,33,30,40,29,28
24003702602,6470,0.116033395380441,0.045453245339765,28,16,13,90,44,36,41,25,17,52,53,51,31,33,31,35,18,15,22,14,9,47,24,20,34,18,13,8,5,3,42,25,19,23,16,12,39,20,16
24003702702,3739,0.101230275474726,0.059697171146176,35,17,20,91,40,48,60,30,35,52,52,53,31,31,33,46,21,25,22,13,13,44,19,24,50,23,27,13,7,7,59,29,35,34,20,20,32,15,17
24003702703,2671,0.178584799700486,0.058002339257786,33,26,19,91,58,47,66,48,37,52,57,53,31,39,33,44,34,23,92,55,48,39,30,21,45,36,23,11,10,6,69,48,38,41,35,24,37,29,20
24003702704,2608,0.181112247216541,0.075842308200830,33,27,24,91,59,59,66,48,48,52,57,57,31,39,37,49,37,34,93,56,58,24,19,18,46,37,32,11,10,8,80,53,53,83,55,54,37,29,25
24003706102,2654,0.348530519969857,0.138572932595825,30,43,37,92,80,84,58,64,66,52,72,72,31,55,53,39,52,48,75,70,73,85,79,78,40,54,51,9,16,12,80,73,76,86,76,77,62,68,67
24003706103,1498,0.235012452166166,0.098664053177493,30,31,28,92,68,72,58,52,53,52,62,62,31,45,43,40,39,36,83,60,64,99,72,70,40,41,37,9,11,8,95,66,70,85,63,65,55,50,47
24003706302,3772,0.138123011664899,0.073014062565769,30,20,21,91,50,58,43,30,30,52,54,56,31,35,36,38,23,25,50,32,35,60,35,37,38,24,25,8,6,5,66,39,45,74,44,49,57,34,37
24003706303,2588,0.432380216383307,0.141429414414387,29,49,37,91,85,84,43,61,55,52,77,73,31,61,54,36,57,45,72,76,73,39,61,45,37,58,49,9,19,12,54,68,62,60,71,65,54,71,62
24003706304,2055,0.239172749391727,0.081321529639190,29,30,23,91,68,63,43,44,34,52,63,58,31,45,38,37,37,27,20,24,16,29,30,22,37,39,27,8,10,6,55,50,42,35,39,29,53,49,38
24003706402,3683,0.379813111018317,0.113554179852985,30,46,31,91,82,77,50,62,53,52,74,66,31,58,47,38,54,39,30,44,33,53,67,49,39,56,42,9,17,10,67,70,62,57,66,55,46,61,46
24003706403,4267,0.419224122289719,0.149891196248629,30,49,40,90,84,86,51,66,64,52,77,75,31,60,56,37,57,49,65,71,71,47,67,56,40,60,55,9,19,13,64,72,71,50,65,60,42,61,53
24003706404,2459,0.515023557148486,0.199327023573757,30,57,51,90,90,93,51,72,74,52,82,85,31,66,66,36,64,60,71,81,84,29,57,47,38,65,64,9,22,18,57,75,77,79,85,86,48,73,72
